timestamp,Animal Count,Animal Health Index,Tracker_visits,Health score
1/1/69,107,1687,12,7.4313
1/2/69,97,1508,6,7.319202
1/3/69,102,1507,12,7.31854
1/4/69,87,1385,8,7.234177
1/5/69,119,1632,10,7.398174
1/6/69,107,1687,12,7.4313
1/7/69,97,1508,6,7.319202
1/8/69,102,1507,12,7.31854
1/9/69,87,1385,8,7.234177
1/10/69,119,1632,10,7.398174
1/11/69,107,1687,12,7.4313
1/12/69,97,1508,6,7.319202
1/13/69,102,1507,12,7.31854
1/14/69,87,1385,8,7.234177
1/15/69,119,1632,10,7.398174
1/16/69,107,1687,12,7.4313
1/17/69,97,1508,6,7.319202
1/18/69,102,1507,12,7.31854
1/19/69,87,1385,8,7.234177
1/20/69,119,1632,10,7.398174
1/21/69,107,1687,12,7.4313
1/22/69,97,1508,6,7.319202
1/23/69,102,1507,12,7.31854
1/24/69,87,1385,8,7.234177
1/25/69,119,1632,10,7.398174
1/26/69,107,1687,12,7.4313
1/27/69,97,1508,6,7.319202
1/28/69,102,1507,12,7.31854
1/29/69,87,1385,8,7.234177
1/30/69,119,1632,10,7.398174
1/31/69,107,1687,12,7.4313
2/1/69,97,1508,6,7.319202
2/2/69,102,1507,12,7.31854
2/3/69,87,1385,8,7.234177
2/4/69,119,1632,10,7.398174
2/5/69,107,1687,12,7.4313
2/6/69,97,1508,6,7.319202
2/7/69,102,1507,12,7.31854
2/8/69,87,1385,8,7.234177
2/9/69,119,1632,10,7.398174
2/10/69,107,1687,12,7.4313
2/11/69,97,1508,6,7.319202
2/12/69,102,1507,12,7.31854
2/13/69,87,1385,8,7.234177
2/14/69,119,1632,10,7.398174
2/15/69,107,1687,12,7.4313
2/16/69,97,1508,6,7.319202
2/17/69,102,1507,12,7.31854
2/18/69,87,1385,8,7.234177
2/19/69,119,1632,10,7.398174
2/20/69,107,1687,12,7.4313
2/21/69,97,1508,6,7.319202
2/22/69,102,1507,12,7.31854
2/23/69,87,1385,8,7.234177
2/24/69,119,1632,10,7.398174
2/25/69,107,1687,12,7.4313
2/26/69,97,1508,6,7.319202
2/27/69,102,1507,12,7.31854
2/28/69,87,1385,8,7.234177
3/1/69,119,1632,10,7.398174
3/2/69,107,1687,12,7.4313
3/3/69,97,1508,6,7.319202
3/4/69,102,1507,12,7.31854
3/5/69,87,1385,8,7.234177
3/6/69,119,1632,10,7.398174
3/7/69,107,1687,12,7.4313
3/8/69,97,1508,6,7.319202
3/9/69,102,1507,12,7.31854
3/10/69,87,1385,8,7.234177
3/11/69,119,1632,10,7.398174
3/12/69,107,1687,12,7.4313
3/13/69,97,1508,6,7.319202
3/14/69,102,1507,12,7.31854
3/15/69,87,1385,8,7.234177
3/16/69,119,1632,10,7.398174
3/17/69,107,1687,12,7.4313
3/18/69,97,1508,6,7.319202
3/19/69,102,1507,12,7.31854
3/20/69,87,1385,8,7.234177
3/21/69,119,1632,10,7.398174
3/22/69,107,1687,12,7.4313
3/23/69,97,1508,6,7.319202
3/24/69,102,1507,12,7.31854
3/25/69,87,1385,8,7.234177
3/26/69,119,1632,10,7.398174
3/27/69,107,1687,12,7.4313
3/28/69,97,1508,6,7.319202
3/29/69,102,1507,12,7.31854
3/30/69,87,1385,8,7.234177
3/31/69,119,1632,10,7.398174
4/1/69,107,1687,12,7.4313
4/2/69,97,1508,6,7.319202
4/3/69,102,1507,12,7.31854
4/4/69,87,1385,8,7.234177
4/5/69,119,1632,10,7.398174
4/6/69,107,1687,12,7.4313
4/7/69,97,1508,6,7.319202
4/8/69,102,1507,12,7.31854
4/9/69,87,1385,8,7.234177
4/10/69,119,1632,10,7.398174
4/11/69,107,1687,12,7.4313
4/12/69,97,1508,6,7.319202
4/13/69,102,1507,12,7.31854
4/14/69,87,1385,8,7.234177
4/15/69,119,1632,10,7.398174
4/16/69,107,1687,12,7.4313
4/17/69,97,1508,6,7.319202
4/18/69,102,1507,12,7.31854
4/19/69,87,1385,8,7.234177
4/20/69,119,1632,10,7.398174
4/21/69,107,1687,12,7.4313
4/22/69,97,1508,6,7.319202
4/23/69,102,1507,12,7.31854
4/24/69,87,1385,8,7.234177
4/25/69,119,1632,10,7.398174
4/26/69,107,1687,12,7.4313
4/27/69,97,1508,6,7.319202
4/28/69,102,1507,12,7.31854
4/29/69,87,1385,8,7.234177
4/30/69,119,1632,10,7.398174
5/1/69,107,1687,12,7.4313
5/2/69,97,1508,6,7.319202
5/3/69,102,1507,12,7.31854
5/4/69,87,1385,8,7.234177
5/5/69,119,1632,10,7.398174
5/6/69,107,1687,12,7.4313
5/7/69,97,1508,6,7.319202
5/8/69,102,1507,12,7.31854
5/9/69,87,1385,8,7.234177
5/10/69,119,1632,10,7.398174
5/11/69,107,1687,12,7.4313
5/12/69,97,1508,6,7.319202
5/13/69,102,1507,12,7.31854
5/14/69,87,1385,8,7.234177
5/15/69,119,1632,10,7.398174
5/16/69,107,1687,12,7.4313
5/17/69,97,1508,6,7.319202
5/18/69,102,1507,12,7.31854
5/19/69,87,1385,8,7.234177
5/20/69,119,1632,10,7.398174
5/21/69,107,1687,12,7.4313
5/22/69,97,1508,6,7.319202
5/23/69,102,1507,12,7.31854
5/24/69,87,1385,8,7.234177
5/25/69,119,1632,10,7.398174
5/26/69,107,1687,12,7.4313
5/27/69,97,1508,6,7.319202
5/28/69,102,1507,12,7.31854
5/29/69,87,1385,8,7.234177
5/30/69,119,1632,10,7.398174
5/31/69,107,1687,12,7.4313
6/1/69,97,1508,6,7.319202
6/2/69,102,1507,12,7.31854
6/3/69,87,1385,8,7.234177
6/4/69,119,1632,10,7.398174
6/5/69,107,1687,12,7.4313
6/6/69,97,1508,6,7.319202
6/7/69,102,1507,12,7.31854
6/8/69,87,1385,8,7.234177
6/9/69,119,1632,10,7.398174
6/10/69,107,1687,12,7.4313
6/11/69,97,1508,6,7.319202
6/12/69,102,1507,12,7.31854
6/13/69,87,1385,8,7.234177
6/14/69,119,1632,10,7.398174
6/15/69,107,1687,12,7.4313
6/16/69,97,1508,6,7.319202
6/17/69,102,1507,12,7.31854
6/18/69,87,1385,8,7.234177
6/19/69,119,1632,10,7.398174
6/20/69,107,1687,12,7.4313
6/21/69,97,1508,6,7.319202
6/22/69,102,1507,12,7.31854
6/23/69,87,1385,8,7.234177
6/24/69,119,1632,10,7.398174
6/25/69,107,1687,12,7.4313
6/26/69,97,1508,6,7.319202
6/27/69,102,1507,12,7.31854
6/28/69,87,1385,8,7.234177
6/29/69,119,1632,10,7.398174
6/30/69,107,1687,12,7.4313
7/1/69,97,1508,6,7.319202
7/2/69,102,1507,12,7.31854
7/3/69,87,1385,8,7.234177
7/4/69,119,1632,10,7.398174
7/5/69,107,1687,12,7.4313
7/6/69,97,1508,6,7.319202
7/7/69,102,1507,12,7.31854
7/8/69,87,1385,8,7.234177
7/9/69,119,1632,10,7.398174
7/10/69,107,1687,12,7.4313
7/11/69,97,1508,6,7.319202
7/12/69,102,1507,12,7.31854
7/13/69,87,1385,8,7.234177
7/14/69,119,1632,10,7.398174
7/15/69,107,1687,12,7.4313
7/16/69,97,1508,6,7.319202
7/17/69,102,1507,12,7.31854
7/18/69,87,1385,8,7.234177
7/19/69,119,1632,10,7.398174
7/20/69,107,1687,12,7.4313
7/21/69,97,1508,6,7.319202
7/22/69,102,1507,12,7.31854
7/23/69,87,1385,8,7.234177
7/24/69,119,1632,10,7.398174
7/25/69,107,1687,12,7.4313
7/26/69,97,1508,6,7.319202
7/27/69,102,1507,12,7.31854
7/28/69,87,1385,8,7.234177
7/29/69,119,1632,10,7.398174
7/30/69,107,1687,12,7.4313
7/31/69,97,1508,6,7.319202
8/1/69,102,1507,12,7.31854
8/2/69,87,1385,8,7.234177
8/3/69,119,1632,10,7.398174
8/4/69,107,1687,12,7.4313
8/5/69,97,1508,6,7.319202
8/6/69,102,1507,12,7.31854
8/7/69,87,1385,8,7.234177
8/8/69,119,1632,10,7.398174
8/9/69,107,1687,12,7.4313
8/10/69,97,1508,6,7.319202
8/11/69,102,1507,12,7.31854
8/12/69,87,1385,8,7.234177
8/13/69,119,1632,10,7.398174
8/14/69,107,1687,12,7.4313
8/15/69,97,1508,6,7.319202
8/16/69,102,1507,12,7.31854
8/17/69,87,1385,8,7.234177
8/18/69,119,1632,10,7.398174
8/19/69,107,1687,12,7.4313
8/20/69,97,1508,6,7.319202
8/21/69,102,1507,12,7.31854
8/22/69,87,1385,8,7.234177
8/23/69,119,1632,10,7.398174
8/24/69,107,1687,12,7.4313
8/25/69,97,1508,6,7.319202
8/26/69,102,1507,12,7.31854
8/27/69,87,1385,8,7.234177
8/28/69,119,1632,10,7.398174
8/29/69,107,1687,12,7.4313
8/30/69,97,1508,6,7.319202
8/31/69,102,1507,12,7.31854
9/1/69,87,1385,8,7.234177
9/2/69,119,1632,10,7.398174
9/3/69,107,1687,12,7.4313
9/4/69,97,1508,6,7.319202
9/5/69,102,1507,12,7.31854
9/6/69,87,1385,8,7.234177
9/7/69,119,1632,10,7.398174
9/8/69,107,1687,12,7.4313
9/9/69,97,1508,6,7.319202
9/10/69,102,1507,12,7.31854
9/11/69,87,1385,8,7.234177
9/12/69,119,1632,10,7.398174
9/13/69,107,1687,12,7.4313
9/14/69,97,1508,6,7.319202
9/15/69,102,1507,12,7.31854
9/16/69,87,1385,8,7.234177
9/17/69,119,1632,10,7.398174
9/18/69,107,1687,12,7.4313
9/19/69,97,1508,6,7.319202
9/20/69,102,1507,12,7.31854
9/21/69,87,1385,8,7.234177
9/22/69,119,1632,10,7.398174
9/23/69,107,1687,12,7.4313
9/24/69,97,1508,6,7.319202
9/25/69,102,1507,12,7.31854
9/26/69,87,1385,8,7.234177
9/27/69,119,1632,10,7.398174
9/28/69,107,1687,12,7.4313
9/29/69,97,1508,6,7.319202
9/30/69,102,1507,12,7.31854
10/1/69,87,1385,8,7.234177
10/2/69,119,1632,10,7.398174
10/3/69,107,1687,12,7.4313
10/4/69,97,1508,6,7.319202
10/5/69,102,1507,12,7.31854
10/6/69,87,1385,8,7.234177
10/7/69,119,1632,10,7.398174
10/8/69,107,1687,12,7.4313
10/9/69,97,1508,6,7.319202
10/10/69,102,1507,12,7.31854
10/11/69,87,1385,8,7.234177
10/12/69,119,1632,10,7.398174
10/13/69,107,1687,12,7.4313
10/14/69,97,1508,6,7.319202
10/15/69,102,1507,12,7.31854
10/16/69,87,1385,8,7.234177
10/17/69,119,1632,10,7.398174
10/18/69,107,1687,12,7.4313
10/19/69,97,1508,6,7.319202
10/20/69,102,1507,12,7.31854
10/21/69,87,1385,8,7.234177
10/22/69,119,1632,10,7.398174
10/23/69,107,1687,12,7.4313
10/24/69,97,1508,6,7.319202
10/25/69,102,1507,12,7.31854
10/26/69,87,1385,8,7.234177
10/27/69,119,1632,10,7.398174
10/28/69,107,1687,12,7.4313
10/29/69,97,1508,6,7.319202
10/30/69,102,1507,12,7.31854
10/31/69,87,1385,8,7.234177
11/1/69,119,1632,10,7.398174
11/2/69,107,1687,12,7.4313
11/3/69,97,1508,6,7.319202
11/4/69,102,1507,12,7.31854
11/5/69,87,1385,8,7.234177
11/6/69,119,1632,10,7.398174
11/7/69,107,1687,12,7.4313
11/8/69,97,1508,6,7.319202
11/9/69,102,1507,12,7.31854
11/10/69,87,1385,8,7.234177
11/11/69,119,1632,10,7.398174
11/12/69,107,1687,12,7.4313
11/13/69,97,1508,6,7.319202
11/14/69,102,1507,12,7.31854
11/15/69,87,1385,8,7.234177
11/16/69,119,1632,10,7.398174
11/17/69,107,1687,12,7.4313
11/18/69,97,1508,6,7.319202
11/19/69,102,1507,12,7.31854
11/20/69,87,1385,8,7.234177
11/21/69,119,1632,10,7.398174
11/22/69,107,1687,12,7.4313
11/23/69,97,1508,6,7.319202
11/24/69,102,1507,12,7.31854
11/25/69,87,1385,8,7.234177
11/26/69,119,1632,10,7.398174
11/27/69,107,1687,12,7.4313
11/28/69,97,1508,6,7.319202
11/29/69,102,1507,12,7.31854
11/30/69,87,1385,8,7.234177
12/1/69,119,1632,10,7.398174
12/2/69,107,1687,12,7.4313
12/3/69,97,1508,6,7.319202
12/4/69,102,1507,12,7.31854
12/5/69,87,1385,8,7.234177
12/6/69,119,1632,10,7.398174
12/7/69,107,1687,12,7.4313
12/8/69,97,1508,6,7.319202
12/9/69,102,1507,12,7.31854
12/10/69,87,1385,8,7.234177
12/11/69,119,1632,10,7.398174
12/12/69,107,1687,12,7.4313
12/13/69,97,1508,6,7.319202
12/14/69,102,1507,12,7.31854
12/15/69,87,1385,8,7.234177
12/16/69,119,1632,10,7.398174
12/17/69,107,1687,12,7.4313
12/18/69,97,1508,6,7.319202
12/19/69,102,1507,12,7.31854
12/20/69,87,1385,8,7.234177
12/21/69,119,1632,10,7.398174
12/22/69,107,1687,12,7.4313
12/23/69,97,1508,6,7.319202
12/24/69,102,1507,12,7.31854
12/25/69,87,1385,8,7.234177
12/26/69,119,1632,10,7.398174
12/27/69,107,1687,12,7.4313
12/28/69,97,1508,6,7.319202
12/29/69,102,1507,12,7.31854
12/30/69,87,1385,8,7.234177
12/31/69,119,1632,10,7.398174
1/1/70,107,1687,12,7.4313
1/2/70,97,1508,6,7.319202
1/3/70,102,1507,12,7.31854
1/4/70,87,1385,8,7.234177
1/5/70,119,1632,10,7.398174
1/6/70,107,1687,12,7.4313
1/7/70,97,1508,6,7.319202
1/8/70,102,1507,12,7.31854
1/9/70,87,1385,8,7.234177
1/10/70,119,1632,10,7.398174
1/11/70,107,1687,12,7.4313
1/12/70,97,1508,6,7.319202
1/13/70,102,1507,12,7.31854
1/14/70,87,1385,8,7.234177
1/15/70,119,1632,10,7.398174
1/16/70,107,1687,12,7.4313
1/17/70,97,1508,6,7.319202
1/18/70,102,1507,12,7.31854
1/19/70,87,1385,8,7.234177
1/20/70,119,1632,10,7.398174
1/21/70,107,1687,12,7.4313
1/22/70,97,1508,6,7.319202
1/23/70,102,1507,12,7.31854
1/24/70,87,1385,8,7.234177
1/25/70,119,1632,10,7.398174
1/26/70,107,1687,12,7.4313
1/27/70,97,1508,6,7.319202
1/28/70,102,1507,12,7.31854
1/29/70,87,1385,8,7.234177
1/30/70,119,1632,10,7.398174
1/31/70,107,1687,12,7.4313
2/1/70,97,1508,6,7.319202
2/2/70,102,1507,12,7.31854
2/3/70,87,1385,8,7.234177
2/4/70,119,1632,10,7.398174
2/5/70,107,1687,12,7.4313
2/6/70,97,1508,6,7.319202
2/7/70,102,1507,12,7.31854
2/8/70,87,1385,8,7.234177
2/9/70,119,1632,10,7.398174
2/10/70,107,1687,12,7.4313
2/11/70,97,1508,6,7.319202
2/12/70,102,1507,12,7.31854
2/13/70,87,1385,8,7.234177
2/14/70,119,1632,10,7.398174
2/15/70,107,1687,12,7.4313
2/16/70,97,1508,6,7.319202
2/17/70,102,1507,12,7.31854
2/18/70,87,1385,8,7.234177
2/19/70,119,1632,10,7.398174
2/20/70,107,1687,12,7.4313
2/21/70,97,1508,6,7.319202
2/22/70,102,1507,12,7.31854
2/23/70,87,1385,8,7.234177
2/24/70,119,1632,10,7.398174
2/25/70,107,1687,12,7.4313
2/26/70,97,1508,6,7.319202
2/27/70,102,1507,12,7.31854
2/28/70,87,1385,8,7.234177
3/1/70,119,1632,10,7.398174
3/2/70,107,1687,12,7.4313
3/3/70,97,1508,6,7.319202
3/4/70,102,1507,12,7.31854
3/5/70,87,1385,8,7.234177
3/6/70,119,1632,10,7.398174
3/7/70,107,1687,12,7.4313
3/8/70,97,1508,6,7.319202
3/9/70,102,1507,12,7.31854
3/10/70,87,1385,8,7.234177
3/11/70,119,1632,10,7.398174
3/12/70,107,1687,12,7.4313
3/13/70,97,1508,6,7.319202
3/14/70,102,1507,12,7.31854
3/15/70,87,1385,8,7.234177
3/16/70,119,1632,10,7.398174
3/17/70,107,1687,12,7.4313
3/18/70,97,1508,6,7.319202
3/19/70,102,1507,12,7.31854
3/20/70,87,1385,8,7.234177
3/21/70,119,1632,10,7.398174
3/22/70,107,1687,12,7.4313
3/23/70,97,1508,6,7.319202
3/24/70,102,1507,12,7.31854
3/25/70,87,1385,8,7.234177
3/26/70,119,1632,10,7.398174
3/27/70,107,1687,12,7.4313
3/28/70,97,1508,6,7.319202
3/29/70,102,1507,12,7.31854
3/30/70,87,1385,8,7.234177
3/31/70,119,1632,10,7.398174
4/1/70,107,1687,12,7.4313
4/2/70,97,1508,6,7.319202
4/3/70,102,1507,12,7.31854
4/4/70,87,1385,8,7.234177
4/5/70,119,1632,10,7.398174
4/6/70,107,1687,12,7.4313
4/7/70,97,1508,6,7.319202
4/8/70,102,1507,12,7.31854
4/9/70,87,1385,8,7.234177
4/10/70,119,1632,10,7.398174
4/11/70,107,1687,12,7.4313
4/12/70,97,1508,6,7.319202
4/13/70,102,1507,12,7.31854
4/14/70,87,1385,8,7.234177
