timestamp,Animal Count,Animal Health Index,Tracker_visits,Health score
4/15/70,119,1632,10,7.398174
4/16/70,107,1687,12,7.4313
4/17/70,97,1508,6,7.319202
4/18/70,102,1507,12,7.31854
4/19/70,87,1385,8,7.234177
4/20/70,119,1632,10,7.398174
4/21/70,107,1687,12,7.4313
4/22/70,97,1508,6,7.319202
4/23/70,102,1507,12,7.31854
4/24/70,87,1385,8,7.234177
4/25/70,119,1632,10,7.398174
4/26/70,107,1687,12,7.4313
4/27/70,97,1508,6,7.319202
4/28/70,102,1507,12,7.31854
4/29/70,87,1385,8,7.234177
4/30/70,119,1632,10,7.398174
5/1/70,107,1687,12,7.4313
5/2/70,97,1508,6,7.319202
5/3/70,102,1507,12,7.31854
5/4/70,87,1385,8,7.234177
5/5/70,119,1632,10,7.398174
5/6/70,107,1687,12,7.4313
5/7/70,97,1508,6,7.319202
5/8/70,102,1507,12,7.31854
5/9/70,87,1385,8,7.234177
5/10/70,119,1632,10,7.398174
5/11/70,107,1687,12,7.4313
5/12/70,97,1508,6,7.319202
5/13/70,102,1507,12,7.31854
5/14/70,87,1385,8,7.234177
5/15/70,119,1632,10,7.398174
5/16/70,107,1687,12,7.4313
5/17/70,97,1508,6,7.319202
5/18/70,102,1507,12,7.31854
5/19/70,87,1385,8,7.234177
5/20/70,119,1632,10,7.398174
5/21/70,107,1687,12,7.4313
5/22/70,97,1508,6,7.319202
5/23/70,102,1507,12,7.31854
5/24/70,87,1385,8,7.234177
5/25/70,119,1632,10,7.398174
5/26/70,107,1687,12,7.4313
5/27/70,97,1508,6,7.319202
5/28/70,102,1507,12,7.31854
5/29/70,87,1385,8,7.234177
5/30/70,119,1632,10,7.398174
5/31/70,107,1687,12,7.4313
6/1/70,97,1508,6,7.319202
6/2/70,102,1507,12,7.31854
6/3/70,87,1385,8,7.234177
6/4/70,119,1632,10,7.398174
6/5/70,107,1687,12,7.4313
6/6/70,97,1508,6,7.319202
6/7/70,102,1507,12,7.31854
6/8/70,87,1385,8,7.234177
6/9/70,119,1632,10,7.398174
6/10/70,107,1687,12,7.4313
6/11/70,97,1508,6,7.319202
6/12/70,102,1507,12,7.31854
6/13/70,87,1385,8,7.234177
6/14/70,119,1632,10,7.398174
6/15/70,107,1687,12,7.4313
6/16/70,97,1508,6,7.319202
6/17/70,102,1507,12,7.31854
6/18/70,87,1385,8,7.234177
6/19/70,119,1632,10,7.398174
6/20/70,107,1687,12,7.4313
6/21/70,97,1508,6,7.319202
6/22/70,102,1507,12,7.31854
6/23/70,87,1385,8,7.234177
6/24/70,119,1632,10,7.398174
6/25/70,107,1687,12,7.4313
6/26/70,97,1508,6,7.319202
6/27/70,102,1507,12,7.31854
6/28/70,87,1385,8,7.234177
6/29/70,119,1632,10,7.398174
6/30/70,107,1687,12,7.4313
7/1/70,97,1508,6,7.319202
7/2/70,102,1507,12,7.31854
7/3/70,87,1385,8,7.234177
7/4/70,119,1632,10,7.398174
7/5/70,107,1687,12,7.4313
7/6/70,97,1508,6,7.319202
7/7/70,102,1507,12,7.31854
7/8/70,87,1385,8,7.234177
7/9/70,119,1632,10,7.398174
7/10/70,107,1687,12,7.4313
7/11/70,97,1508,6,7.319202
7/12/70,102,1507,12,7.31854
7/13/70,87,1385,8,7.234177
7/14/70,119,1632,10,7.398174
7/15/70,107,1687,12,7.4313
7/16/70,97,1508,6,7.319202
7/17/70,102,1507,12,7.31854
7/18/70,87,1385,8,7.234177
7/19/70,119,1632,10,7.398174
7/20/70,107,1687,12,7.4313
7/21/70,97,1508,6,7.319202
7/22/70,102,1507,12,7.31854
7/23/70,87,1385,8,7.234177
7/24/70,119,1632,10,7.398174
7/25/70,107,1687,12,7.4313
7/26/70,97,1508,6,7.319202
7/27/70,102,1507,12,7.31854
7/28/70,87,1385,8,7.234177
7/29/70,119,1632,10,7.398174
7/30/70,107,1687,12,7.4313
7/31/70,97,1508,6,7.319202
8/1/70,102,1507,12,7.31854
8/2/70,87,1385,8,7.234177
8/3/70,119,1632,10,7.398174
8/4/70,107,1687,12,7.4313
8/5/70,97,1508,6,7.319202
8/6/70,102,1507,12,7.31854
8/7/70,87,1385,8,7.234177
8/8/70,119,1632,10,7.398174
8/9/70,107,1687,12,7.4313
8/10/70,97,1508,6,7.319202
8/11/70,102,1507,12,7.31854
8/12/70,87,1385,8,7.234177
8/13/70,119,1632,10,7.398174
8/14/70,107,1687,12,7.4313
8/15/70,97,1508,6,7.319202
8/16/70,102,1507,12,7.31854
8/17/70,87,1385,8,7.234177
8/18/70,119,1632,10,7.398174
8/19/70,107,1687,12,7.4313
8/20/70,97,1508,6,7.319202
8/21/70,102,1507,12,7.31854
8/22/70,87,1385,8,7.234177
8/23/70,119,1632,10,7.398174
8/24/70,107,1687,12,7.4313
8/25/70,97,1508,6,7.319202
8/26/70,102,1507,12,7.31854
8/27/70,87,1385,8,7.234177
8/28/70,119,1632,10,7.398174
8/29/70,107,1687,12,7.4313
8/30/70,97,1508,6,7.319202
8/31/70,102,1507,12,7.31854
9/1/70,87,1385,8,7.234177
9/2/70,119,1632,10,7.398174
9/3/70,107,1687,12,7.4313
9/4/70,97,1508,6,7.319202
9/5/70,102,1507,12,7.31854
9/6/70,87,1385,8,7.234177
9/7/70,119,1632,10,7.398174
9/8/70,107,1687,12,7.4313
9/9/70,97,1508,6,7.319202
9/10/70,102,1507,12,7.31854
9/11/70,87,1385,8,7.234177
9/12/70,119,1632,10,7.398174
9/13/70,107,1687,12,7.4313
9/14/70,97,1508,6,7.319202
9/15/70,102,1507,12,7.31854
9/16/70,87,1385,8,7.234177
9/17/70,119,1632,10,7.398174
9/18/70,107,1687,12,7.4313
9/19/70,97,1508,6,7.319202
9/20/70,102,1507,12,7.31854
9/21/70,87,1385,8,7.234177
9/22/70,119,1632,10,7.398174
9/23/70,107,1687,12,7.4313
9/24/70,97,1508,6,7.319202
9/25/70,102,1507,12,7.31854
9/26/70,87,1385,8,7.234177
9/27/70,119,1632,10,7.398174
9/28/70,107,1687,12,7.4313
9/29/70,97,1508,6,7.319202
9/30/70,102,1507,12,7.31854
10/1/70,87,1385,8,7.234177
10/2/70,119,1632,10,7.398174
10/3/70,107,1687,12,7.4313
10/4/70,97,1508,6,7.319202
10/5/70,102,1507,12,7.31854
10/6/70,87,1385,8,7.234177
10/7/70,119,1632,10,7.398174
10/8/70,107,1687,12,7.4313
10/9/70,97,1508,6,7.319202
10/10/70,102,1507,12,7.31854
10/11/70,87,1385,8,7.234177
10/12/70,119,1632,10,7.398174
10/13/70,107,1687,12,7.4313
10/14/70,97,1508,6,7.319202
10/15/70,102,1507,12,7.31854
10/16/70,87,1385,8,7.234177
10/17/70,119,1632,10,7.398174
10/18/70,107,1687,12,7.4313
10/19/70,97,1508,6,7.319202
10/20/70,102,1507,12,7.31854
10/21/70,87,1385,8,7.234177
10/22/70,119,1632,10,7.398174
10/23/70,107,1687,12,7.4313
10/24/70,97,1508,6,7.319202
10/25/70,102,1507,12,7.31854
10/26/70,87,1385,8,7.234177
10/27/70,119,1632,10,7.398174
10/28/70,107,1687,12,7.4313
10/29/70,97,1508,6,7.319202
10/30/70,102,1507,12,7.31854
10/31/70,87,1385,8,7.234177
11/1/70,119,1632,10,7.398174
11/2/70,107,1687,12,7.4313
11/3/70,97,1508,6,7.319202
11/4/70,102,1507,12,7.31854
11/5/70,87,1385,8,7.234177
11/6/70,119,1632,10,7.398174
11/7/70,107,1687,12,7.4313
11/8/70,97,1508,6,7.319202
11/9/70,102,1507,12,7.31854
11/10/70,87,1385,8,7.234177
11/11/70,119,1632,10,7.398174
11/12/70,107,1687,12,7.4313
11/13/70,97,1508,6,7.319202
11/14/70,102,1507,12,7.31854
11/15/70,87,1385,8,7.234177
11/16/70,119,1632,10,7.398174
11/17/70,107,1687,12,7.4313
11/18/70,97,1508,6,7.319202
11/19/70,102,1507,12,7.31854
11/20/70,87,1385,8,7.234177
11/21/70,119,1632,10,7.398174
11/22/70,107,1687,12,7.4313
11/23/70,97,1508,6,7.319202
11/24/70,102,1507,12,7.31854
11/25/70,87,1385,8,7.234177
11/26/70,119,1632,10,7.398174
11/27/70,107,1687,12,7.4313
11/28/70,97,1508,6,7.319202
11/29/70,102,1507,12,7.31854
11/30/70,87,1385,8,7.234177
12/1/70,119,1632,10,7.398174
12/2/70,107,1687,12,7.4313
12/3/70,97,1508,6,7.319202
12/4/70,102,1507,12,7.31854
12/5/70,87,1385,8,7.234177
12/6/70,119,1632,10,7.398174
12/7/70,107,1687,12,7.4313
12/8/70,97,1508,6,7.319202
12/9/70,102,1507,12,7.31854
12/10/70,87,1385,8,7.234177
12/11/70,119,1632,10,7.398174
12/12/70,107,1687,12,7.4313
12/13/70,97,1508,6,7.319202
12/14/70,102,1507,12,7.31854
12/15/70,87,1385,8,7.234177
12/16/70,119,1632,10,7.398174
12/17/70,107,1687,12,7.4313
12/18/70,97,1508,6,7.319202
12/19/70,102,1507,12,7.31854
12/20/70,87,1385,8,7.234177
12/21/70,119,1632,10,7.398174
12/22/70,107,1687,12,7.4313
12/23/70,97,1508,6,7.319202
12/24/70,102,1507,12,7.31854
12/25/70,87,1385,8,7.234177
12/26/70,119,1632,10,7.398174
12/27/70,107,1687,12,7.4313
12/28/70,97,1508,6,7.319202
12/29/70,102,1507,12,7.31854
12/30/70,87,1385,8,7.234177
12/31/70,119,1632,10,7.398174
1/1/71,107,1687,12,7.4313
1/2/71,97,1508,6,7.319202
1/3/71,102,1507,12,7.31854
1/4/71,87,1385,8,7.234177
1/5/71,119,1632,10,7.398174
1/6/71,107,1687,12,7.4313
1/7/71,97,1508,6,7.319202
1/8/71,102,1507,12,7.31854
1/9/71,87,1385,8,7.234177
1/10/71,119,1632,10,7.398174
1/11/71,107,1687,12,7.4313
1/12/71,97,1508,6,7.319202
1/13/71,102,1507,12,7.31854
1/14/71,87,1385,8,7.234177
1/15/71,119,1632,10,7.398174
1/16/71,107,1687,12,7.4313
1/17/71,97,1508,6,7.319202
1/18/71,102,1507,12,7.31854
1/19/71,87,1385,8,7.234177
1/20/71,119,1632,10,7.398174
1/21/71,107,1687,12,7.4313
1/22/71,97,1508,6,7.319202
1/23/71,102,1507,12,7.31854
1/24/71,87,1385,8,7.234177
1/25/71,119,1632,10,7.398174
1/26/71,107,1687,12,7.4313
1/27/71,97,1508,6,7.319202
1/28/71,102,1507,12,7.31854
1/29/71,87,1385,8,7.234177
1/30/71,119,1632,10,7.398174
1/31/71,107,1687,12,7.4313
2/1/71,97,1508,6,7.319202
2/2/71,102,1507,12,7.31854
2/3/71,87,1385,8,7.234177
2/4/71,119,1632,10,7.398174
2/5/71,107,1687,12,7.4313
2/6/71,97,1508,6,7.319202
2/7/71,102,1507,12,7.31854
2/8/71,87,1385,8,7.234177
2/9/71,119,1632,10,7.398174
2/10/71,107,1687,12,7.4313
2/11/71,97,1508,6,7.319202
2/12/71,102,1507,12,7.31854
2/13/71,87,1385,8,7.234177
2/14/71,119,1632,10,7.398174
2/15/71,107,1687,12,7.4313
2/16/71,97,1508,6,7.319202
2/17/71,102,1507,12,7.31854
2/18/71,87,1385,8,7.234177
2/19/71,119,1632,10,7.398174
2/20/71,107,1687,12,7.4313
2/21/71,97,1508,6,7.319202
2/22/71,102,1507,12,7.31854
2/23/71,87,1385,8,7.234177
2/24/71,119,1632,10,7.398174
2/25/71,107,1687,12,7.4313
2/26/71,97,1508,6,7.319202
2/27/71,102,1507,12,7.31854
2/28/71,87,1385,8,7.234177
3/1/71,119,1632,10,7.398174
3/2/71,107,1687,12,7.4313
3/3/71,97,1508,6,7.319202
3/4/71,102,1507,12,7.31854
3/5/71,87,1385,8,7.234177
3/6/71,119,1632,10,7.398174
3/7/71,107,1687,12,7.4313
3/8/71,97,1508,6,7.319202
3/9/71,102,1507,12,7.31854
3/10/71,87,1385,8,7.234177
3/11/71,119,1632,10,7.398174
3/12/71,107,1687,12,7.4313
3/13/71,97,1508,6,7.319202
3/14/71,102,1507,12,7.31854
3/15/71,87,1385,8,7.234177
3/16/71,119,1632,10,7.398174
3/17/71,107,1687,12,7.4313
3/18/71,97,1508,6,7.319202
3/19/71,102,1507,12,7.31854
3/20/71,87,1385,8,7.234177
3/21/71,119,1632,10,7.398174
3/22/71,107,1687,12,7.4313
3/23/71,97,1508,6,7.319202
3/24/71,102,1507,12,7.31854
3/25/71,87,1385,8,7.234177
3/26/71,119,1632,10,7.398174
3/27/71,107,1687,12,7.4313
3/28/71,97,1508,6,7.319202
3/29/71,102,1507,12,7.31854
3/30/71,87,1385,8,7.234177
3/31/71,119,1632,10,7.398174
4/1/71,107,1687,12,7.4313
4/2/71,97,1508,6,7.319202
4/3/71,102,1507,12,7.31854
4/4/71,87,1385,8,7.234177
4/5/71,119,1632,10,7.398174
4/6/71,107,1687,12,7.4313
4/7/71,97,1508,6,7.319202
4/8/71,102,1507,12,7.31854
4/9/71,87,1385,8,7.234177
4/10/71,119,1632,10,7.398174
4/11/71,107,1687,12,7.4313
4/12/71,97,1508,6,7.319202
4/13/71,102,1507,12,7.31854
4/14/71,87,1385,8,7.234177
4/15/71,119,1632,10,7.398174
4/16/71,107,1687,12,7.4313
4/17/71,97,1508,6,7.319202
4/18/71,102,1507,12,7.31854
4/19/71,87,1385,8,7.234177
4/20/71,119,1632,10,7.398174
4/21/71,107,1687,12,7.4313
4/22/71,97,1508,6,7.319202
4/23/71,102,1507,12,7.31854
4/24/71,87,1385,8,7.234177
4/25/71,119,1632,10,7.398174
4/26/71,107,1687,12,7.4313
4/27/71,97,1508,6,7.319202
4/28/71,102,1507,12,7.31854
4/29/71,87,1385,8,7.234177
4/30/71,119,1632,10,7.398174
5/1/71,107,1687,12,7.4313
5/2/71,97,1508,6,7.319202
5/3/71,102,1507,12,7.31854
5/4/71,87,1385,8,7.234177
5/5/71,119,1632,10,7.398174
5/6/71,107,1687,12,7.4313
5/7/71,97,1508,6,7.319202
5/8/71,102,1507,12,7.31854
5/9/71,87,1385,8,7.234177
5/10/71,119,1632,10,7.398174
5/11/71,107,1687,12,7.4313
5/12/71,97,1508,6,7.319202
5/13/71,102,1507,12,7.31854
5/14/71,87,1385,8,7.234177
5/15/71,119,1632,10,7.398174
5/16/71,107,1687,12,7.4313
5/17/71,97,1508,6,7.319202
5/18/71,102,1507,12,7.31854
5/19/71,87,1385,8,7.234177
5/20/71,119,1632,10,7.398174
5/21/71,107,1687,12,7.4313
5/22/71,97,1508,6,7.319202
5/23/71,102,1507,12,7.31854
5/24/71,87,1385,8,7.234177
5/25/71,119,1632,10,7.398174
5/26/71,107,1687,12,7.4313
5/27/71,97,1508,6,7.319202
5/28/71,102,1507,12,7.31854
5/29/71,87,1385,8,7.234177
5/30/71,119,1632,10,7.398174
5/31/71,107,1687,12,7.4313
6/1/71,97,1508,6,7.319202
6/2/71,102,1507,12,7.31854
6/3/71,87,1385,8,7.234177
6/4/71,119,1632,10,7.398174
6/5/71,107,1687,12,7.4313
6/6/71,97,1508,6,7.319202
6/7/71,102,1507,12,7.31854
6/8/71,87,1385,8,7.234177
6/9/71,119,1632,10,7.398174
6/10/71,107,1687,12,7.4313
6/11/71,97,1508,6,7.319202
6/12/71,102,1507,12,7.31854
6/13/71,87,1385,8,7.234177
6/14/71,119,1632,10,7.398174
6/15/71,107,1687,12,7.4313
6/16/71,97,1508,6,7.319202
6/17/71,102,1507,12,7.31854
6/18/71,87,1385,8,7.234177
6/19/71,119,1632,10,7.398174
6/20/71,107,1687,12,7.4313
6/21/71,97,1508,6,7.319202
6/22/71,102,1507,12,7.31854
6/23/71,87,1385,8,7.234177
6/24/71,119,1632,10,7.398174
6/25/71,107,1687,12,7.4313
6/26/71,97,1508,6,7.319202
6/27/71,102,1507,12,7.31854
6/28/71,87,1385,8,7.234177
6/29/71,119,1632,10,7.398174
6/30/71,107,1687,12,7.4313
7/1/71,97,1508,6,7.319202
7/2/71,102,1507,12,7.31854
7/3/71,87,1385,8,7.234177
7/4/71,119,1632,10,7.398174
7/5/71,107,1687,12,7.4313
7/6/71,97,1508,6,7.319202
7/7/71,102,1507,12,7.31854
7/8/71,87,1385,8,7.234177
7/9/71,119,1632,10,7.398174
7/10/71,107,1687,12,7.4313
7/11/71,97,1508,6,7.319202
7/12/71,102,1507,12,7.31854
7/13/71,87,1385,8,7.234177
7/14/71,119,1632,10,7.398174
7/15/71,107,1687,12,7.4313
7/16/71,97,1508,6,7.319202
7/17/71,102,1507,12,7.31854
7/18/71,87,1385,8,7.234177
7/19/71,119,1632,10,7.398174
7/20/71,107,1687,12,7.4313
7/21/71,97,1508,6,7.319202
7/22/71,102,1507,12,7.31854
7/23/71,87,1385,8,7.234177
7/24/71,119,1632,10,7.398174
7/25/71,107,1687,12,7.4313
7/26/71,97,1508,6,7.319202
7/27/71,102,1507,12,7.31854
7/28/71,87,1385,8,7.234177
7/29/71,119,1632,10,7.398174
7/30/71,107,1687,12,7.4313
7/31/71,97,1508,6,7.319202